id;tel_name;cap2;cap1;ozellik_1;ozellik_2;record_date
1;030X120ALRULO;120;0.3;ALUMINYUM;RULO;
2;60X1670ALRULO;167;0.6;ALUMINYUM;RULO;
3;65X1670ALRULO;167;0.65;ALUMINYUM;RULO;
4;65X2000ALRULO;200;0.65;ALUMINYUM;RULO;
5;65X2500ALRULO;250;0.65;ALUMINYUM;RULO;
6;H0109ALR80115;115;0.8;ALUMINYUM;RULO;
7;H0109ALR100115;120;1;ALUMINYUM;RULO;
8;H0109ALR60120120;160;1.2;ALUMINYUM;RULO;
9;H0109ALR601,20X160;120;1.2;ALUMINYUM;DILINMIS RULO;
10;H0109ALR60160120;100;1.6;ALUMINYUM;RULO;
11;H0109ALR25100;100;0.25;ALUMINYUM;DILINMIS RULO;
12;H0109ALR50100;100;0.5;ALUMINYUM;DILINMIS RULO;
13;H0109ALR60100;100;0.6;ALUMINYUM;DILINMIS RULO;
14;H0109ALR70100;100;0.7;ALUMINYUM;DILINMIS RULO;
15;100080DAR;120;0.8;ALUMINYUM;DILINMIS RULO;
16;H0109ALR25120;120;0.25;ALUMINYUM;DILINMIS RULO;
17;H0109ALR30120;120;0.3;ALUMINYUM;DILINMIS RULO;
18;H0109ALR40120;120;0.4;ALUMINYUM;DILINMIS RULO;
19;H0109ALR60120;120;0.6;ALUMINYUM;DILINMIS RULO;
20;H0109ALR70120;120;0.7;ALUMINYUM;DILINMIS RULO;
21;H0109ALR80120;120;0.8;ALUMINYUM;DILINMIS RULO;
22;H0109ALR40125;125;0.4;ALUMINYUM;DILINMIS RULO;
23;H0109ALR80160;160;0.8;ALUMINYUM;DILINMIS RULO;
24;H0109ALR100160;160;1;ALUMINYUM;DILINMIS RULO;
25;H0109ALR30167;167;0.3;ALUMINYUM;DILINMIS RULO;
26;H0109ALR40167;167;0.4;ALUMINYUM;DILINMIS RULO;
27;190010DAR;190;1;ALUMINYUM;DILINMIS RULO;
28;H0109ALR20200;200;0.2;ALUMINYUM;DILINMIS RULO;
29;H0109ALR30200;200;0.3;ALUMINYUM;DILINMIS RULO;
30;H0109ALR40200;200;0.4;ALUMINYUM;DILINMIS RULO;
31;H0109ALR60200;200;0.6;ALUMINYUM;DILINMIS RULO;
32;070200DAR;200;0.7;ALUMINYUM;DILINMIS RULO;
33;200080DAR;200;0.8;ALUMINYUM;DILINMIS RULO;
34;200010DAR;200;1;ALUMINYUM;DILINMIS RULO;
35;H0109ALR30230;230;0.3;ALUMINYUM;DILINMIS RULO;
36;230050DAR;230;0.5;ALUMINYUM;DILINMIS RULO;
37;230010DAR;230;1;ALUMINYUM;DILINMIS RULO;
38;H0109ALR30250;250;0.3;ALUMINYUM;DILINMIS RULO;
39;H0109ALR40250;250;0.4;ALUMINYUM;DILINMIS RULO;
40;250060DAR;250;0.6;ALUMINYUM;DILINMIS RULO;
41;070325DAR;250;0.7;ALUMINYUM;DILINMIS RULO;
42;250080DAR;250;0.8;ALUMINYUM;DILINMIS RULO;
43;020280DAR;280;0.2;ALUMINYUM;DILINMIS RULO;
44;080300DAR;300;0.8;ALUMINYUM;DILINMIS RULO;
45;315080DAR;315;0.8;ALUMINYUM;DILINMIS RULO;
46;080320DAR;320;0.8;ALUMINYUM;DILINMIS RULO;
47;H0109ALR12320;320;0.12;ALUMINYUM;DILINMIS RULO;
48;H0109ALR20320;320;0.2;ALUMINYUM;DILINMIS RULO;
49;H0109ALR30320;320;0.3;ALUMINYUM;DILINMIS RULO;
50;320010DAR;320;1;ALUMINYUM;DILINMIS RULO;
51;040360DAR;360;0.4;ALUMINYUM;DILINMIS RULO;
52;360060DAR;360;0.6;ALUMINYUM;DILINMIS RULO;
53;360080DAR;360;0.8;ALUMINYUM;DILINMIS RULO;
54;380050DAR;380;0.5;ALUMINYUM;DILINMIS RULO;
55;380060DAR;380;0.6;ALUMINYUM;DILINMIS RULO;
56;380080DAR;380;0.8;ALUMINYUM;DILINMIS RULO;
57;380100DAR;380;1;ALUMINYUM;DILINMIS RULO;
58;380150DAR;380;1.5;ALUMINYUM;DILINMIS RULO;
59;400060DAR;400;0.6;ALUMINYUM;DILINMIS RULO;
60;4000010DAR;400;1;ALUMINYUM;DILINMIS RULO;
61;4000020DAR;400;1.2;ALUMINYUM;DILINMIS RULO;
62;4500010DAR;450;0.5;ALUMINYUM;DILINMIS RULO;
63;H0109ALR50900;90;0.5;ALUMINYUM;DILINMIS RULO;
