id;tel_name;cap1;cap2;ozellik_1;ozellik_2;record_date
1;H0100310X50YPFI;10;5;ALUMINYUM;YASSI TEL PEN FÝLM ÝZOLELÝ;
2;H010310X60AYT;10;6;ALUMINYUM;YASSI TEL;
3;H0101210X7KPAL;10;7;ALUMINYUM;YASSI KAPTON ÝZOLELÝ TEL;
4;H010310X70PFI;10;7;ALUMINYUM;YASSI TEL PEN FÝLM ÝZOLELÝ;
5;H8X10YSBTCM;10;8;ALUMINYUM;CAM ÝZOLE YASSI;
6;H010310X85PFI;10;8.5;ALUMINYUM;YASSI TEL PEN FÝLM ÝZOLELÝ;
7;H0103011X050PF;11;5;ALUMINYUM;YASSI TEL PEN FÝLM ÝZOLELÝ;
8;125X9YSAT;12.5;9;ALUMINYUM;YASSI TEL;
9;125X9YSAPFI;12.5;9;ALUMINYUM;YASSI TEL PEN FÝLM ÝZOLELÝ;
10;12X2YSAPFI;12;2;ALUMINYUM;YASSI TEL PEN FILM IZOLELÝ;
11;H0101212X5KPAL;12;5;ALUMINYUM;YASSI KAPTON ÝZOLELÝ TEL;
12;H0103012X050PF;12;5;ALUMINYUM;YASSI TEL PEN FÝLM ÝZOLELÝ;
13;12X55YSATPFI;12;5.5;ALUMINYUM;YASSI TEL PEN FÝLM ÝZOLELÝ;
14;12X75YSAT;12;7.5;ALUMINYUM;YASSI TEL;
15;12X75YSAPFI;12;7.5;ALUMINYUM;YASSI TEL PEN FÝLM ÝZOLELÝ;
16;12X84YSAT;12;8.4;ALUMINYUM;YASSI TEL;
17;H010312X90PF1;12;9;ALUMINYUM;YASSI TEL PEN FÝLM ÝZOLELÝ;
18;19X6YSAPFI;19;6;ALUMINYUM;YASSI TEL PEN FÝLM ÝZOLELÝ;
19;H10042050NYFK;2;0.5;ALUMINYUM;NYAF YASSI KABLO;
20;H01030350X2PFI;3.5;2;ALUMINYUM;YASSI TEL PEN FÝLM ÝZOLELÝ;
21;H0103004X2PFI;4;2;ALUMINYUM;YASSI TEL PEN FÝLM ÝZOLELÝ;
22;H0101204X25KPAL;4;2.5;ALUMINYUM;YASSI KAPTON ÝZOLELÝ TEL;
